ID,Form_ID,Cognateset_ID
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
2956-1,2956,47-i
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
2355-1,2355,6-a
2356-1,2356,6-b
3522-1,3522,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2360-1,2360,6-b
2388-1,2388,6-b
2375-1,2375,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2365-1,2365,6-b
2388-1,2388,6-b
2396-1,2396,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2388-1,2388,6-b
2375-1,2375,6-b
2388-1,2388,6-b
2387-1,2387,6-b
2378-1,2378,6-b
2387-1,2387,6-b
2380-1,2380,6-b
2388-1,2388,6-b
2382-1,2382,6-b
3522-1,3522,6-b
3522-1,3522,6-b
2385-1,2385,6-b
2387-1,2387,6-b
2387-1,2387,6-b
2388-1,2388,6-b
2389-1,2389,6-b
2390-1,2390,6-b
3525-1,3525,6-b
2397-1,2397,6-b
3522-1,3522,6-b
2397-1,2397,6-b
3522-1,3522,6-b
2396-1,2396,6-b
2397-1,2397,6-b
2398-1,2398,6-c
2399-1,2399,6-d
3530-1,3530,6-d
2401-1,2401,6-e
2402-1,2402,6-e
2403-1,2403,6-e
2404-1,2404,6-e
2405-1,2405,6-e
3538-1,3538,6-e
2407-1,2407,6-e
2408-1,2408,6-e
2409-1,2409,6-f
2410-1,2410,49-a
2411-1,2411,49-a
2412-1,2412,49-b
2414-1,2414,49-c
2414-1,2414,49-c
2426-1,2426,49-d
2428-1,2428,49-d
2424-1,2424,49-d
2428-1,2428,49-d
2428-1,2428,49-d
2420-1,2420,49-d
2421-1,2421,49-d
2428-1,2428,49-d
2424-1,2424,49-d
2424-1,2424,49-d
2425-1,2425,49-d
2426-1,2426,49-d
2427-1,2427,49-d
2428-1,2428,49-d
2429-1,2429,49-e
2430-1,2430,49-f
2431-1,2431,49-g
2432-1,2432,49-h
2433-1,2433,49-i
2434-1,2434,49-j
2436-1,2436,49-k
2436-1,2436,49-k
2437-1,2437,49-l
2438-1,2438,49-m
2439-1,2439,49-m
2440-1,2440,49-n
2446-1,2446,49-n
2445-1,2445,49-n
2443-1,2443,49-n
2445-1,2445,49-n
2445-1,2445,49-n
2446-1,2446,49-n
2447-1,2447,49-o
2448-1,2448,49-o
2449-1,2449,49-o
2450-1,2450,49-o
2453-1,2453,49-o
2453-1,2453,49-o
2453-1,2453,49-o
2454-1,2454,49-o
2455-1,2455,49-p
2456-1,2456,49-p
2457-1,2457,49-q
2458-1,2458,49-q
2460-1,2460,49-q
2460-1,2460,49-q
2461-1,2461,49-r
2462-1,2462,49-s
2463-1,2463,49-t
2464-1,2464,49-t
2465-1,2465,49-u
2466-1,2466,49-u
2467-1,2467,49-u
2475-1,2475,49-u
2475-1,2475,49-u
2475-1,2475,49-u
2475-1,2475,49-u
2475-1,2475,49-u
2473-1,2473,49-u
2474-1,2474,49-u
2475-1,2475,49-u
2476-1,2476,49-u
2477-1,2477,49-v
2478-1,2478,49-w
2479-1,2479,49-x
2483-1,2483,49-y
2483-1,2483,49-y
2483-1,2483,49-y
2483-1,2483,49-y
2484-1,2484,49-
2485-1,2485,53-a
2486-1,2486,53-b
2487-1,2487,53-c
2488-1,2488,53-d
2511-1,2511,53-e
2511-1,2511,53-e
2491-1,2491,53-e
2492-1,2492,53-e
2493-1,2493,53-e
2494-1,2494,53-e
2511-1,2511,53-e
2511-1,2511,53-e
2511-1,2511,53-e
2511-1,2511,53-e
2511-1,2511,53-e
2511-1,2511,53-e
2511-1,2511,53-e
2502-1,2502,53-e
2503-1,2503,53-e
2504-1,2504,53-e
2529-1,2529,53-e
2529-1,2529,53-e
2510-1,2510,53-e
2511-1,2511,53-e
2529-1,2529,53-e
2510-1,2510,53-e
2511-1,2511,53-e
2529-1,2529,53-e
2526-1,2526,53-e
2529-1,2529,53-e
2529-1,2529,53-e
2526-1,2526,53-e
2529-1,2529,53-e
2529-1,2529,53-e
2519-1,2519,53-e
2531-1,2531,53-e
2526-1,2526,53-e
2529-1,2529,53-e
2526-1,2526,53-e
2529-1,2529,53-e
2529-1,2529,53-e
2526-1,2526,53-e
2527-1,2527,53-e
2530-1,2530,53-e
2529-1,2529,53-e
2530-1,2530,53-e
2531-1,2531,53-e
2532-1,2532,53-e
2533-1,2533,53-e
2534-1,2534,53-f
2535-1,2535,53-g
2536-1,2536,NA
2964-1,2964,26-a
2538-1,2538,26-a
2874-1,2874,26-b
2874-1,2874,26-b
2874-1,2874,26-b
2868-1,2868,26-b
2874-1,2874,26-b
2874-1,2874,26-b
2874-1,2874,26-b
